Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Velocity_Vals_m_sec,Data_Index
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.716198357,4
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.652302797,5
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.718648385,6
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.723641588,7
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.672922187,8
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.702265376,9
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.710389136,10
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.682385217,11
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.730625763,12
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.718700235,13
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.695883091,14
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.683632082,15
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.702730111,16
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.734712087,17
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.744359863,18
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.643509679,19
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.71472329,20
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.725230354,21
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.707126361,22
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.726032854,23
