Video_Code,Set,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Num_Vals,Velocity_Vals_m_sec,Species,Pappus_base_width_f,Pappus_tip_width_f,Achene_tip_width_f,Achene_mid_width_f,Achene_length_lin_f,Achene_twopt_length_f,Achene_twopt_angle_f,Achene_max_width_f,Pappus_perp_max_length_f,Pappus_base_width_s,Pappus_tip_width_s,Achene_tip_width_s,Achene_mid_width_s,Achene_length_lin_s,Achene_twopt_length_s,Achene_twopt_angle_s,Achene_max_width_s,Pappus_perp_max_length_s,pappus_tip_area,Achene.twopt.angle.dev.max,pap.tip.cyp.max.area.ratio,pap.tip.pap.base.area.ratio,Pap.len.ach.len.ratio,pap.tip.ecc,coneSA
Bfre2m1n5r2,B,2,1,5,r,2,0.08,Bfre2m1n5,13,1.607842451,L. fremontii,0.258,0.941,0.185,0.245,1.172,1.172,169.776,0.289,1.399,0.292,0.776,0.164,0.351,1.183,1.19,167.712,0.344,1.416,0.5735103052834688,12.288000000000011,7.345055121911966,9.692789635765106,1.1953290870488322,0.5656365910994785,0.5125626492933479
Bfre2m1n5r3,B,2,1,5,r,3,0.069,Bfre2m1n5,17,1.334396722,L. fremontii,0.25,0.749,0.176,0.306,1.114,1.112,173.067,0.355,1.477,0.237,0.362,0.165,0.259,1.127,1.143,165.898,0.285,1.335,0.21295128722727136,14.102000000000004,2.6798912774894985,4.576168776371308,1.2547969656403393,0.8754486841359916,0.4311745853380423
Bfre2m2n4d1,B,2,2,4,d,1,0.042,Bfre2m2n4,15,1.416182423,L. fremontii,0.226,0.369,0.125,0.311,0.873,0.879,175.724,0.317,1.191,0.223,0.379,0.147,0.292,0.862,0.866,173.589,0.321,1.198,0.10983871854930378,6.411000000000001,1.3743624517232231,2.7749315449025755,1.3769452449567725,0.2281978713502863,0.3084720591747649
Bfre2m2n4d2,B,2,2,4,d,2,0.038,Bfre2m2n4,13,1.66640962,L. fremontii,0.217,0.254,0.127,0.283,0.848,0.842,177.376,0.302,1.134,0.223,0.553,0.098,0.265,0.922,0.937,174.128,0.299,1.045,0.11031859682713967,5.872000000000014,1.5555383286451532,2.902647186460293,1.2310734463276836,0.8882745723451402,0.3082008520607569
Bfre2m2n4d3,B,2,2,4,d,3,0.031,Bfre2m2n4,17,1.295028016,L. fremontii,0.272,0.5,0.081,0.329,0.937,0.951,165.833,0.338,1.02,0.233,0.255,0.09,0.241,0.938,0.94,172.582,0.274,1.075,0.10013826583318125,14.167000000000002,1.376711441281907,2.011802575107296,1.1173333333333333,0.8601744009211155,0.3757131420557456
Bfre2m2n4r1,B,2,2,4,r,1,0.033,Bfre2m2n4,23,0.983198163,L. fremontii,0.225,0.364,0.121,0.272,0.807,0.809,176.752,0.299,0.882,0.211,0.503,0.082,0.269,0.853,0.859,167.298,0.302,0.849,0.14380012053277505,12.701999999999998,2.027641808234955,3.856598209583991,1.0427710843373492,0.690158694956772,0.28672916600316967
Bfre2m2n4r2,B,2,2,4,r,2,0.06,Bfre2m2n4,17,1.408364424,L. fremontii,0.227,0.295,0.088,0.29,1.05,1.061,168.156,0.304,0.782,0.259,0.743,0.101,0.321,1.323,1.351,162.357,0.36,1.054,0.17214749644428104,17.643,2.0027869152046787,3.7280798734543223,0.7737041719342604,0.9178017258089297,0.45573264701527993
Bfre2m2n4r3,B,2,2,4,r,3,0.06,Bfre2m2n4,13,1.46221643,L. fremontii,0.227,0.343,0.14,0.317,1.002,1.004,173.241,0.333,0.687,0.176,0.564,0.165,0.247,0.985,0.999,158.206,0.275,0.687,0.15193684550557318,21.79400000000001,2.112497952497952,4.8421105326391665,0.6914947156517363,0.7938175137641486,0.31728624209325906
Bgla1m2n2d1,B,1,2,2,d,1,0.134,Bgla1m2n2,22,1.103834788,L. glaberrima,0.279,0.396,0.219,0.201,2.149,2.162,174.808,0.287,0.915,0.337,0.433,0.288,0.454,2.131,2.13,169.436,0.443,0.881,0.13467065228144254,10.563999999999993,1.3486444184016173,1.8236814396477454,0.41962616822429916,0.40447364702449196,1.040275173329361
Bgla1m2n2d2,B,1,2,2,d,2,0.079,Bgla1m2n2,13,1.53882704,L. glaberrima,0.392,0.542,0.342,0.565,2.225,2.241,176.893,0.579,1.213,0.27,0.649,0.198,0.328,2.224,2.224,178.138,0.355,1.217,0.2762700871603779,3.1069999999999993,1.711343014911577,3.32348828420257,0.5461901550910317,0.5500511446559041,1.1694024521458428
Bgla1m2n2d3,B,1,2,2,d,3,0.068,Bgla1m2n2,19,1.270688497,L. glaberrima,0.495,0.639,0.365,0.64,2.867,2.875,176.743,0.705,1.559,0.258,0.34,0.211,0.134,2.098,2.098,179.121,0.231,1.295,0.17063560497974087,3.257000000000005,1.3340701851340153,1.7011980267794222,0.5748237663645519,0.8466932195832468,1.5082644033984007
Bgla1m2n4d1,B,1,2,4,d,1,0.136,Bgla1m2n4,19,1.076269462,L. glaberrima,0.392,0.598,0.364,0.508,2,2.016,176.212,0.544,0.875,0.261,0.458,0.223,0.248,2.036,2.039,174.499,0.305,0.903,0.21510799058396088,5.501000000000005,1.6506991321118611,2.676948940495738,0.44053518334985137,0.6429760449871794,1.0485476022320674
Bgla1m2n4d2,B,1,2,4,d,2,0.17,Bgla1m2n4,17,1.156466993,L. glaberrima,0.301,0.349,0.336,0.53,2.027,2.069,173.275,0.532,1.007,0.243,0.367,0.254,0.318,2.068,2.055,175.175,0.334,0.954,0.10059615296244198,6.724999999999994,0.7208308946017739,1.7511313454465909,0.4788766788766788,0.30933331763091865,0.879185210188721
Bgla1m2n4d3,B,1,2,4,d,3,0.191,Bgla1m2n4,13,1.511067577,L. glaberrima,0.387,0.677,0.365,0.517,2.046,2.062,176.5,0.556,0.782,0.335,0.669,0.223,0.288,2.044,2.039,179.06,0.354,0.715,0.355717038378852,3.5,2.3011065723692234,3.493486058081685,0.3660146699266503,0.1532776575606836,1.1656043719095805
Cgla1m1n1d1,C,1,1,1,d,1,0.138,Cgla1m1n1,20,1.177895517,L. glaberrima,0.262,0.408,0.16,0.207,1.752,1.775,163.901,0.258,0.797,0.3,0.436,0.262,0.585,1.801,1.789,177.591,0.585,0.82,0.13971290849045448,16.09899999999999,1.1786126018684158,2.263206106870229,0.4551083591331269,0.3525849330380852,0.7874615454919671
Cgla1m1n1d2,C,1,1,1,d,2,0.035,Cgla1m1n1,43,0.665442612,L. glaberrima,0.25,0.389,0.317,0.374,1.597,1.597,171.643,0.4,1.016,0.191,0.273,0.176,0.238,1.601,1.622,171.934,0.254,0.994,0.08340692875832431,8.357,1.045246062992126,2.224020942408377,0.6285178236397748,0.712374537476586,0.5575855952677462
Cgla1m1n1d3,C,1,1,1,d,3,0.049,Cgla1m1n1,31,0.827407873,L. glaberrima,0.366,0.933,0.4,0.63,1.96,1.973,177.135,0.646,1.13,0.293,0.375,0.204,0.172,1.981,1.978,179.822,0.302,1.076,0.2747911824187004,2.865000000000009,1.7933846595452407,3.26260280870587,0.5597564070032987,0.9156707211623547,1.0264997703719994
Cgla2m2n1d1,C,2,2,1,d,1,0.149,Cgla2m2n1,16,1.458687321,L. glaberrima,0.337,0.397,0.402,0.527,1.797,1.791,170.464,0.532,0.867,0.294,0.563,0.216,0.285,1.768,1.784,167.3,0.305,0.886,0.17554512889913862,12.699999999999989,1.377486749661038,2.255909485455903,0.49172510518934087,0.7090571907566406,0.8878330164848227
Cgla2m2n1d2,C,2,2,1,d,2,0.17,Cgla2m2n1,9,1.962202357,L. glaberrima,0.3,0.441,0.246,0.283,2.046,2.055,177.969,0.316,0.962,0.35,0.467,0.414,0.527,2.027,2.068,171.258,0.558,1.027,0.16175039555722495,8.74199999999999,1.1679767251939568,1.9614000000000003,0.48833783452000973,0.329012742041436,1.0444601222210725
Cgla2m2n1d3,C,2,2,1,d,3,0.149,Cgla2m2n1,14,1.509819982,L. glaberrima,0.3,0.438,0.202,0.345,1.852,1.859,175.429,0.384,0.972,0.311,0.498,0.392,0.536,1.854,1.874,167.019,0.541,0.94,0.1713141889929163,12.980999999999995,1.0499653419593344,2.3378778135048237,0.5159201295196977,0.47586548573810855,0.8923009524434299
Dcal1m2n1d1,D,1,2,1,d,1,0.086,Dcal1m2n1,19,1.39863338,L. californica,0.248,1.103,0.209,0.25,1.316,1.329,177.923,0.262,1.801,0.342,1.585,0.248,0.381,1.363,1.377,172.529,0.414,1.651,1.3730762661504963,7.471000000000004,16.11770291698934,20.612325504621765,1.2885405001866366,0.7181396153673655,0.6282360253299708
Dcal1m2n1d2,D,1,2,1,d,2,0.075,Dcal1m2n1,19,1.423736099,L. californica,0.268,1.06,0.217,0.274,1.278,1.268,179.406,0.312,1.858,0.251,1.016,0.236,0.268,1.29,1.295,179.963,0.268,1.847,0.8458424060525717,0.5939999999999941,12.879831611174895,16.00998989118154,1.4427570093457944,0.28512424452624296,0.5261870786589846
Dcal1m2n1d3,D,1,2,1,d,3,0.11,Dcal1m2n1,17,1.432990117,L. californica,0.285,1.253,0.237,0.317,1.501,1.521,174.866,0.356,1.913,0.295,1.349,0.24,0.311,1.449,1.444,174.798,0.389,2.044,1.327556159396304,5.201999999999998,12.205720516449553,20.104632768361583,1.3413559322033897,0.37049070179243365,0.67519520627992
Dcal1m2n1r1,D,1,2,1,r,1,0.095,Dcal1m2n1,26,1.029567901,L. californica,0.296,1.76,0.19,0.252,1.45,1.459,169.806,0.252,1.892,0.317,1.238,0.213,0.354,1.506,1.514,167.86,0.404,1.764,1.7112883502635448,12.139999999999986,21.4018544711614,23.22107596555546,1.23680649526387,0.7107852353745442,0.7155976449923254
