Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Num_Vals,Velocity_Vals_m_sec
Dfre1m1n5r2,D,fre,1,1,5,r,2,0.051,Dfre1m1n5,15,1.415667166
Dfre1m1n5r3,D,fre,1,1,5,r,3,0.049,Dfre1m1n5,12,1.557324556
Ffre1m1n4d1,F,fre,1,1,4,d,1,0.034,Ffre1m1n4,28,0.97637503
Ffre1m1n4d2,F,fre,1,1,4,d,2,0.031,Ffre1m1n4,24,1.100101877
Ffre1m1n4d3,F,fre,1,1,4,d,3,0.034,Ffre1m1n4,32,0.794098826
Ffre1m1n4r1,F,fre,1,1,4,r,1,0.045,Ffre1m1n4,28,0.965802889
Ffre1m1n4r2,F,fre,1,1,4,r,2,0.032,Ffre1m1n4,30,0.884977065
Ffre1m1n4r3,F,fre,1,1,4,r,3,0.04,Ffre1m1n4,18,1.356233415
Ffre1m2n3d1,F,fre,1,2,3,d,1,0.066,Ffre1m2n3,20,1.317708523
Ffre1m2n3d2,F,fre,1,2,3,d,2,0.06,Ffre1m2n3,18,1.331175316
Ffre1m2n3d3,F,fre,1,2,3,d,3,0.062,Ffre1m2n3,19,1.19975774
Ffre1m2n3r1,F,fre,1,2,3,r,1,0.035,Ffre1m2n3,27,0.880225255
Ffre1m2n3r2,F,fre,1,2,3,r,2,0.032,Ffre1m2n3,23,1.060123687
Ffre1m2n3r3,F,fre,1,2,3,r,3,0.061,Ffre1m2n3,18,1.303363538
Gfre1m1n1d1,G,fre,1,1,1,d,1,0.035,Gfre1m1n1,26,0.938598581
Gfre1m1n1d2,G,fre,1,1,1,d,2,0.064,Gfre1m1n1,18,1.293155061
Gfre1m1n1d3,G,fre,1,1,1,d,3,0.045,Gfre1m1n1,17,1.304316371
Gfre1m1n1r1,G,fre,1,1,1,r,1,0.056,Gfre1m1n1,16,1.348115516
Gfre1m1n1r2,G,fre,1,1,1,r,2,0.071,Gfre1m1n1,19,1.17499145
