Full ID,Species,Measurement type,Length
FcalT1M3,cal,Full Length Branch 3,144.811
FcalT1M3,cal,Full Length Branch 4,NA
FcalT1M3,cal,Full Length Branch 5,NA
FcalT1M3,cal,Full Length Branch 6,NA
FcalT1M3,cal,Full Length Branch 7,NA
FfreT1M3,fre,Full Length Main Branch,207.571
FfreT1M3,fre,Full Length Branch 2,NA
FfreT1M3,fre,Full Length Branch 3,NA
FfreT1M3,fre,Full Length Branch 4,NA
FfreT1M3,fre,Full Length Branch 5,NA
FfreT1M3,fre,Full Length Branch 6,NA
FfreT1M3,fre,Full Length Branch 7,NA
GcalT1M3,cal,Full Length Main Branch,166.414
GcalT1M3,cal,Full Length Branch 2,NA
GcalT1M3,cal,Full Length Branch 3,NA
GcalT1M3,cal,Full Length Branch 4,NA
GcalT1M3,cal,Full Length Branch 5,NA
GcalT1M3,cal,Full Length Branch 6,NA
GcalT1M3,cal,Full Length Branch 7,NA
GcalT2M1,cal,Full Length Main Branch,161.583
GcalT2M1,cal,Full Length Branch 2,NA
GcalT2M1,cal,Full Length Branch 3,NA
GcalT2M1,cal,Full Length Branch 4,NA
GcalT2M1,cal,Full Length Branch 5,NA
GcalT2M1,cal,Full Length Branch 6,NA
GcalT2M1,cal,Full Length Branch 7,NA
GfreT2M1,fre,Full Length Main Branch,134.236
GfreT2M1,fre,Full Length Branch 2,NA
GfreT2M1,fre,Full Length Branch 3,NA
GfreT2M1,fre,Full Length Branch 4,NA
GfreT2M1,fre,Full Length Branch 5,NA
GfreT2M1,fre,Full Length Branch 6,NA
GfreT2M1,fre,Full Length Branch 7,NA
GfreT2M2,fre,Full Length Main Branch,176.463
GfreT2M2,fre,Full Length Branch 2,NA
GfreT2M2,fre,Full Length Branch 3,NA
GfreT2M2,fre,Full Length Branch 4,NA
GfreT2M2,fre,Full Length Branch 5,NA
GfreT2M2,fre,Full Length Branch 6,NA
GfreT2M2,fre,Full Length Branch 7,NA
GglaT1M1,gla,Full Length Main Branch,211.376
GglaT1M1,gla,Full Length Branch 2,209.778
GglaT1M1,gla,Full Length Branch 3,NA
GglaT1M1,gla,Full Length Branch 4,NA
GglaT1M1,gla,Full Length Branch 5,NA
GglaT1M1,gla,Full Length Branch 6,NA
GglaT1M1,gla,Full Length Branch 7,NA
GglaT2M3,gla,Full Length Main Branch,234.875
GglaT2M3,gla,Full Length Branch 2,NA
GglaT2M3,gla,Full Length Branch 3,NA
GglaT2M3,gla,Full Length Branch 4,NA
GglaT2M3,gla,Full Length Branch 5,NA
GglaT2M3,gla,Full Length Branch 6,NA
GglaT2M3,gla,Full Length Branch 7,NA
HcalT1M2,cal,Full Length Main Branch,74.052
HcalT1M2,cal,Full Length Branch 2,NA
HcalT1M2,cal,Full Length Branch 3,NA
HcalT1M2,cal,Full Length Branch 4,NA
HcalT1M2,cal,Full Length Branch 5,NA
HcalT1M2,cal,Full Length Branch 6,NA
HcalT1M2,cal,Full Length Branch 7,NA
HcalT1M3,cal,Full Length Main Branch,110.297
HcalT1M3,cal,Full Length Branch 2,NA
HcalT1M3,cal,Full Length Branch 3,NA
HcalT1M3,cal,Full Length Branch 4,NA
HcalT1M3,cal,Full Length Branch 5,NA
HcalT1M3,cal,Full Length Branch 6,NA
HcalT1M3,cal,Full Length Branch 7,NA
HcalT2M2,cal,Full Length Main Branch,131.018
HcalT2M2,cal,Full Length Branch 2,NA
HcalT2M2,cal,Full Length Branch 3,NA
HcalT2M2,cal,Full Length Branch 4,NA
HcalT2M2,cal,Full Length Branch 5,NA
HcalT2M2,cal,Full Length Branch 6,NA
HcalT2M2,cal,Full Length Branch 7,NA
HfreT2M2,fre,Full Length Main Branch,158.063
HfreT2M2,fre,Full Length Branch 2,NA
HfreT2M2,fre,Full Length Branch 3,NA
HfreT2M2,fre,Full Length Branch 4,NA
HfreT2M2,fre,Full Length Branch 5,NA
HfreT2M2,fre,Full Length Branch 6,NA
HfreT2M2,fre,Full Length Branch 7,NA
HglaT1M3,gla,Full Length Main Branch,180.415
HglaT1M3,gla,Full Length Branch 2,182.966
HglaT1M3,gla,Full Length Branch 3,NA
HglaT1M3,gla,Full Length Branch 4,NA
HglaT1M3,gla,Full Length Branch 5,NA
HglaT1M3,gla,Full Length Branch 6,NA
HglaT1M3,gla,Full Length Branch 7,NA
HglaT2M2,gla,Full Length Main Branch,243.902
HglaT2M2,gla,Full Length Branch 2,243.191
HglaT2M2,gla,Full Length Branch 3,284.274
