Full ID,Species,SppID,Hub,Transect,Mom,Wind_speed_1m,Wind_speed_10cm,Time,Day,prop_speed
HcalT1M3,L. californica,cal,H,1,3,6.22,0.8,11:15:00,5,0.12861736334405147
HcalT2M2,L. californica,cal,H,2,2,5.36,0.8,11:17:00,5,0.14925373134328357
HcalT2M2,L. californica,cal,H,2,2,8.11,1.15,11:17:00,5,0.14180024660912455
HcalT2M2,L. californica,cal,H,2,2,6.56,0.8,11:17:00,5,0.12195121951219513
HcalT2M2,L. californica,cal,H,2,2,8.48,1,11:17:00,5,0.11792452830188678
HcalT2M2,L. californica,cal,H,2,2,7.42,1.15,11:17:00,5,0.1549865229110512
HfreT2M2,L. fremontii,fre,H,2,2,9.48,1.15,11:23:00,5,0.12130801687763712
HfreT2M2,L. fremontii,fre,H,2,2,5.7,0.6,11:23:00,5,0.10526315789473684
HfreT2M2,L. fremontii,fre,H,2,2,6.73,0.6,11:23:00,5,0.08915304606240712
HfreT2M2,L. fremontii,fre,H,2,2,11.53,0,11:23:00,5,0
HfreT2M2,L. fremontii,fre,H,2,2,5.87,1,11:23:00,5,0.17035775127768313
HglaT1M3,L. glaberrima,gla,H,1,3,5.53,1.57,11:29:00,5,0.28390596745027125
HglaT1M3,L. glaberrima,gla,H,1,3,7.25,1.57,11:29:00,5,0.21655172413793106
HglaT1M3,L. glaberrima,gla,H,1,3,3.94,2,11:29:00,5,0.5076142131979695
HglaT1M3,L. glaberrima,gla,H,1,3,6.56,1.43,11:29:00,5,0.21798780487804878
HglaT1M3,L. glaberrima,gla,H,1,3,9.14,2.18,11:29:00,5,0.23851203501094093
HglaT2M2,L. glaberrima,gla,H,2,2,5.53,1.72,11:32:00,5,0.31103074141048825
HglaT2M2,L. glaberrima,gla,H,2,2,7.42,1.29,11:32:00,5,0.1738544474393531
HglaT2M2,L. glaberrima,gla,H,2,2,6.04,1.72,11:32:00,5,0.2847682119205298
HglaT2M2,L. glaberrima,gla,H,2,2,10,2.18,11:32:00,5,0.21800000000000003
HglaT2M2,L. glaberrima,gla,H,2,2,7.94,2,11:32:00,5,0.2518891687657431
EcalT1M2,L. califonica,cal,E,1,2,8.28,1.29,11:08:00,5,0.1557971014492754
EcalT1M2,L. califonica,cal,E,1,2,8.8,1,11:08:00,5,0.11363636363636363
EcalT1M2,L. califonica,cal,E,1,2,8.45,1.15,11:08:00,5,0.13609467455621302
EcalT1M2,L. califonica,cal,E,1,2,7.94,1.29,11:08:00,5,0.1624685138539043
EcalT1M2,L. califonica,cal,E,1,2,8.62,1.15,11:08:00,5,0.13341067285382832
GcalT2M3,L. californica,cal,G,2,3,5.53,0.6,11:45:00,5,0.10849909584086799
GcalT2M3,L. californica,cal,G,2,3,6.56,0.2,11:45:00,5,0.030487804878048783
GcalT2M3,L. californica,cal,G,2,3,9.31,0.2,11:45:00,5,0.021482277121374866
GcalT2M3,L. californica,cal,G,2,3,7.43,0.4,11:45:00,5,0.05383580080753702
GcalT2M3,L. californica,cal,G,2,3,7.59,0.6,11:45:00,5,0.07905138339920949
GfreT2M1,L. fremontii,fre,G,2,1,5.87,1,11:41:00,5,0.17035775127768313
GfreT2M1,L. fremontii,fre,G,2,1,4.82,1.43,11:41:00,5,0.29668049792531115
GfreT2M1,L. fremontii,fre,G,2,1,5.7,1.29,11:41:00,5,0.22631578947368422
GfreT2M1,L. fremontii,fre,G,2,1,5.7,1.29,11:41:00,5,0.22631578947368422
GfreT2M1,L. fremontii,fre,G,2,1,7.25,1,11:41:00,5,0.13793103448275862
AcalT1M2,L. californica,cal,A,1,2,3.59,0.2,14:58:00,8,0.05571030640668524
AcalT1M2,L. californica,cal,A,1,2,4.82,0,14:58:00,8,0
AcalT1M2,L. californica,cal,A,1,2,3.77,0.2,14:58:00,8,0.05305039787798409
AcalT1M2,L. californica,cal,A,1,2,4.47,0.4,14:58:00,8,0.0894854586129754
AcalT1M2,L. californica,cal,A,1,2,2.36,0.4,14:58:00,8,0.16949152542372883
IcalT2M2,L. californica,cal,I,2,2,3.59,0.8,15:24:00,8,0.22284122562674097
IcalT2M2,L. californica,cal,I,2,2,5.36,1.29,15:24:00,8,0.24067164179104478
IcalT2M2,L. californica,cal,I,2,2,2.89,1.15,15:24:00,8,0.3979238754325259
IcalT2M2,L. californica,cal,I,2,2,4.12,1.29,15:24:00,8,0.3131067961165049
IcalT2M2,L. californica,cal,I,2,2,3.59,1.15,15:24:00,8,0.3203342618384401
AcalT2M2,L. californica,cal,A,2,2,3.77,0,15:00:00,8,0
AcalT2M2,L. californica,cal,A,2,2,3.06,0.4,15:00:00,8,0.13071895424836602
AcalT2M2,L. californica,cal,A,2,2,4.65,1,15:00:00,8,0.2150537634408602
AcalT2M2,L. californica,cal,A,2,2,4.12,1,15:00:00,8,0.24271844660194175
AcalT2M2,L. californica,cal,A,2,2,4.12,0.6,15:00:00,8,0.14563106796116504
AcalT2M1,L. californica,cal,A,2,1,2.71,0.6,15:03:00,8,0.22140221402214022
AcalT2M1,L. californica,cal,A,2,1,5.36,1,15:03:00,8,0.18656716417910446
AcalT2M1,L. californica,cal,A,2,1,3.59,0.8,15:03:00,8,0.22284122562674097
AcalT2M1,L. californica,cal,A,2,1,2.36,0.4,15:03:00,8,0.16949152542372883
AcalT2M1,L. californica,cal,A,2,1,3.77,1.15,15:03:00,8,0.30503978779840846
IfreT1M1,L. fremontii,fre,I,1,1,4.12,1.29,15:13:00,8,0.3131067961165049
IfreT1M1,L. fremontii,fre,I,1,1,3.94,0.8,15:13:00,8,0.20304568527918784
IfreT1M1,L. fremontii,fre,I,1,1,4.82,1,15:13:00,8,0.20746887966804978
IfreT1M1,L. fremontii,fre,I,1,1,5.18,1.15,15:13:00,8,0.222007722007722
IfreT1M1,L. fremontii,fre,I,1,1,3.94,1,15:13:00,8,0.25380710659898476
IfreT2M3,L. fremontii,fre,I,2,3,4.82,1.15,15:21:00,8,0.23858921161825722
IfreT2M3,L. fremontii,fre,I,2,3,5.36,1.15,15:21:00,8,0.21455223880597013
IfreT2M3,L. fremontii,fre,I,2,3,5,1.15,15:21:00,8,0.22999999999999998
IfreT2M3,L. fremontii,fre,I,2,3,4.82,1.43,15:21:00,8,0.29668049792531115
IfreT2M3,L. fremontii,fre,I,2,3,6.22,1.57,15:21:00,8,0.252411575562701
IglaT1M1,L. glaberrima,gla,I,1,1,4.47,1.48,15:09:00,8,0.33109619686800895
IglaT1M1,L. glaberrima,gla,I,1,1,3.42,1.43,15:09:00,8,0.41812865497076024
IglaT1M1,L. glaberrima,gla,I,1,1,4.12,1,15:09:00,8,0.24271844660194175
IglaT1M1,L. glaberrima,gla,I,1,1,5.36,1.86,15:09:00,8,0.34701492537313433
IglaT2M2,L. glaberrima,gla,I,2,2,5.87,1,15:16:00,8,0.17035775127768313
IglaT2M2,L. glaberrima,gla,I,2,2,3.94,1,15:16:00,8,0.25380710659898476
IglaT2M2,L. glaberrima,gla,I,2,2,3.77,1.15,15:16:00,8,0.30503978779840846
IglaT2M2,L. glaberrima,gla,I,2,2,3.77,1,15:16:00,8,0.26525198938992045
IglaT2M2,L. glaberrima,gla,I,2,2,5,1.15,15:16:00,8,0.22999999999999998
DcalT1M1,L. californica,cal,D,1,1,3.77,0.6,15:49:00,8,0.15915119363395225
DcalT1M1,L. californica,cal,D,1,1,5.7,1.29,15:49:00,8,0.22631578947368422
DcalT1M1,L. californica,cal,D,1,1,5.53,1.72,15:49:00,8,0.31103074141048825
DcalT1M1,L. californica,cal,D,1,1,5.53,1.29,15:49:00,8,0.2332730560578662
DcalT1M1,L. californica,cal,D,1,1,4.65,1.29,15:49:00,8,0.27741935483870966
DfreT1M1,L. fremontii,fre,D,1,1,3.06,0.8,15:30:00,8,0.26143790849673204
DfreT1M1,L. fremontii,fre,D,1,1,5.36,1.15,15:30:00,8,0.21455223880597013
DfreT1M1,L. fremontii,fre,D,1,1,4.47,1.15,15:30:00,8,0.25727069351230425
DfreT1M1,L. fremontii,fre,D,1,1,3.77,0.6,15:30:00,8,0.15915119363395225
DfreT1M1,L. fremontii,fre,D,1,1,5.18,1,15:30:00,8,0.19305019305019305
DfreT2M1,L. fremontii,fre,D,2,1,6.73,1.72,15:38:00,8,0.2555720653789004
DfreT2M1,L. fremontii,fre,D,2,1,4.82,2.36,15:38:00,8,0.48962655601659744
DfreT2M1,L. fremontii,fre,D,2,1,4.12,2.54,15:38:00,8,0.616504854368932
DfreT2M1,L. fremontii,fre,D,2,1,3.59,1.15,15:38:00,8,0.3203342618384401
DfreT2M1,L. fremontii,fre,D,2,1,4.47,1.86,15:38:00,8,0.41610738255033564
DfreT2M2,L. fremontii,fre,D,2,2,5,1.29,15:33:00,8,0.258
DfreT2M2,L. fremontii,fre,D,2,2,3.59,1.29,15:33:00,8,0.3593314763231198
DfreT2M2,L. fremontii,fre,D,2,2,6.22,1.57,15:33:00,8,0.252411575562701
DfreT2M2,L. fremontii,fre,D,2,2,6.22,1.86,15:33:00,8,0.2990353697749196
DfreT2M2,L. fremontii,fre,D,2,2,5.7,1.43,15:33:00,8,0.25087719298245614
DfreT2M3,L. fremontii,fre,D,2,3,6.9,1.86,15:35:00,8,0.26956521739130435
DfreT2M3,L. fremontii,fre,D,2,3,5.7,1.86,15:35:00,8,0.3263157894736842
DfreT2M3,L. fremontii,fre,D,2,3,6.9,2.71,15:35:00,8,0.3927536231884058
DfreT2M3,L. fremontii,fre,D,2,3,3.77,1.15,15:35:00,8,0.30503978779840846
DfreT2M3,L. fremontii,fre,D,2,3,5.7,1.86,15:35:00,8,0.3263157894736842
DglaT2M2,L. glaberrima,gla,D,2,2,6.39,0.2,15:43:00,8,0.03129890453834116
DglaT2M2,L. glaberrima,gla,D,2,2,3.77,0,15:43:00,8,0
DglaT2M2,L. glaberrima,gla,D,2,2,4.82,0,15:43:00,8,0
DglaT2M2,L. glaberrima,gla,D,2,2,4.12,0,15:43:00,8,0
DglaT2M2,L. glaberrima,gla,D,2,2,5.18,0,15:43:00,8,0
BcalT2M2,L. californica,cal,B,2,2,4.12,1.43,15:54:00,8,0.34708737864077666
BcalT2M2,L. californica,cal,B,2,2,3.59,1.15,15:54:00,8,0.3203342618384401
BcalT2M2,L. californica,cal,B,2,2,2.89,1.29,15:54:00,8,0.4463667820069204
BcalT2M2,L. californica,cal,B,2,2,3.59,1.57,15:54:00,8,0.43732590529247917
BcalT2M2,L. californica,cal,B,2,2,4.12,1.72,15:54:00,8,0.4174757281553398
BfreT1M1,L. fremontii,fre,B,1,1,6.56,1.29,16:02:00,8,0.19664634146341464
BfreT1M1,L. fremontii,fre,B,1,1,5.53,1.29,16:02:00,8,0.2332730560578662
BfreT1M1,L. fremontii,fre,B,1,1,3.42,0.8,16:02:00,8,0.23391812865497078
BfreT1M1,L. fremontii,fre,B,1,1,4.47,0.8,16:02:00,8,0.1789709172259508
BfreT1M1,L. fremontii,fre,B,1,1,6.04,1.15,16:02:00,8,0.19039735099337746
BfreT1M2,L. fremontii,fre,B,1,2,4.47,1.86,15:57:00,8,0.41610738255033564
BfreT1M2,L. fremontii,fre,B,1,2,6.39,1.86,15:57:00,8,0.2910798122065728
BfreT1M2,L. fremontii,fre,B,1,2,5,1.15,15:57:00,8,0.22999999999999998
BfreT1M2,L. fremontii,fre,B,1,2,4.12,1.15,15:57:00,8,0.279126213592233
BfreT1M2,L. fremontii,fre,B,1,2,6.22,1.86,15:57:00,8,0.2990353697749196
JcalT2M1,L. californica,cal,J,2,1,3.94,1.15,16:19:00,8,0.2918781725888325
JcalT2M1,L. californica,cal,J,2,1,6.39,2.71,16:19:00,8,0.4241001564945227
JcalT2M1,L. californica,cal,J,2,1,5.7,1.86,16:19:00,8,0.3263157894736842
JcalT2M1,L. californica,cal,J,2,1,7.59,2.18,16:19:00,8,0.2872200263504612
JcalT2M1,L. californica,cal,J,2,1,6.56,2.36,16:19:00,8,0.3597560975609756
