Full ID,Species,SppID,Hub,Transect,Mom,Pin,Distance,Angle_Comp,Angle_Deg_fromN,Angle_Rad_fromN,Angle_Deg_fromE,Angle_Rad_fromE,Notes
BfreT2M1,L. fremontii,fre,B,2,1,NA,NA,NA,NA,NA,NA,NA,NA
BfreT2M2,L. fremontii,fre,B,2,2,NA,NA,NA,NA,NA,NA,NA,NA
BfreT2M3,L. fremontii,fre,B,2,3,NA,NA,NA,NA,NA,NA,NA,NA
BglaT1M1,L. glaberrima,gla,B,1,1,NA,NA,NA,NA,NA,NA,NA,NA
BglaT1M2,L. glaberrima,gla,B,1,2,NA,NA,NA,NA,NA,NA,NA,NA
BglaT1M3,L. glaberrima,gla,B,1,3,NA,NA,NA,NA,NA,NA,NA,NA
BglaT2M1,L. glaberrima,gla,B,2,1,NA,NA,NA,NA,NA,NA,NA,NA
BglaT2M2,L. glaberrima,gla,B,2,2,1,8.55,3,56.25,0.98,33.75,0.59,
BglaT2M2,L. glaberrima,gla,B,2,2,2,8.85,3,56.25,0.98,33.75,0.59,
BglaT2M2,L. glaberrima,gla,B,2,2,3,12.6,2,33.75,0.59,56.25,0.98,
BglaT2M2,L. glaberrima,gla,B,2,2,4,13.2,2,33.75,0.59,56.25,0.98,
BglaT2M3,L. glaberrima,gla,B,2,3,1,9.7,15,326.25,5.69,123.75,2.16,
BglaT2M3,L. glaberrima,gla,B,2,3,2,11.35,15,326.25,5.69,123.75,2.16,
BglaT2M3,L. glaberrima,gla,B,2,3,3,13.1,14,303.75,5.3,146.25,2.55,
BglaT2M3,L. glaberrima,gla,B,2,3,4,12.45,15,326.25,5.69,123.75,2.16,
BglaT2M3,L. glaberrima,gla,B,2,3,5,11.7,15,326.25,5.69,123.75,2.16,
BglaT2M3,L. glaberrima,gla,B,2,3,6,13.2,15,326.25,5.69,123.75,2.16,
BglaT2M3,L. glaberrima,gla,B,2,3,7,13.85,15,326.25,5.69,123.75,2.16,
CcalT1M1,L. californica,cal,C,1,1,NA,NA,NA,NA,NA,NA,NA,NA
CcalT1M2,L. californica,cal,C,1,2,1,5.2,14,303.75,5.3,146.25,2.55,
CcalT1M2,L. californica,cal,C,1,2,2,4.2,14,303.75,5.3,146.25,2.55,
CcalT1M2,L. californica,cal,C,1,2,3,5.75,14,303.75,5.3,146.25,2.55,
CcalT1M2,L. californica,cal,C,1,2,4,4.3,11,236.25,4.12,213.75,3.73,
CcalT1M2,L. californica,cal,C,1,2,5,3.55,8,168.75,2.95,281.25,4.91,
CcalT1M2,L. californica,cal,C,1,2,6,3.95,8,168.75,2.95,281.25,4.91,
CcalT1M2,L. californica,cal,C,1,2,7,4.8,8,168.75,2.95,281.25,4.91,
CcalT1M2,L. californica,cal,C,1,2,8,7.3,7,146.25,2.55,303.75,5.3,
CcalT1M2,L. californica,cal,C,1,2,9,4.25,6,123.75,2.16,326.25,5.69,
CcalT1M2,L. californica,cal,C,1,2,10,5.1,5,101.25,1.77,168.75,2.95,
CcalT1M2,L. californica,cal,C,1,2,11,4.3,5,101.25,1.77,168.75,2.95,
CcalT1M2,L. californica,cal,C,1,2,12,4.15,5,101.25,1.77,168.75,2.95,
CcalT1M2,L. californica,cal,C,1,2,13,4.15,4,78.75,1.37,11.25,0.2,
CcalT1M2,L. californica,cal,C,1,2,14,6.2,4,78.75,1.37,11.25,0.2,
CcalT1M2,L. californica,cal,C,1,2,15,7.4,4,78.75,1.37,11.25,0.2,
CcalT1M2,L. californica,cal,C,1,2,16,7.2,3,56.25,0.98,33.75,0.59,
CcalT1M2,L. californica,cal,C,1,2,17,6.8,3,56.25,0.98,33.75,0.59,
CcalT1M2,L. californica,cal,C,1,2,18,8.3,1,11.25,0.2,78.75,1.37,
CcalT1M2,L. californica,cal,C,1,2,19,9.65,1,11.25,0.2,78.75,1.37,
CcalT1M3,L. californica,cal,C,1,3,1,3.4,14,303.75,5.3,146.25,2.55,
CcalT1M3,L. californica,cal,C,1,3,2,1.6,4,78.75,1.37,11.25,0.2,
CcalT1M3,L. californica,cal,C,1,3,3,8.25,2,33.75,0.59,56.25,0.98,
CcalT1M3,L. californica,cal,C,1,3,4,4.05,1,11.25,0.2,78.75,1.37,
CcalT1M3,L. californica,cal,C,1,3,5,4,16,348.75,6.09,101.25,1.77,
CcalT1M3,L. californica,cal,C,1,3,6,4.6,15,326.25,5.69,123.75,2.16,
CcalT1M3,L. californica,cal,C,1,3,7,5.7,16,348.75,6.09,101.25,1.77,
CcalT1M3,L. californica,cal,C,1,3,8,5.9,1,11.25,0.2,78.75,1.37,
CcalT1M3,L. californica,cal,C,1,3,9,6.6,16,348.75,6.09,101.25,1.77,
CcalT1M3,L. californica,cal,C,1,3,10,10,16,348.75,6.09,101.25,1.77,
CcalT2M1,L. californica,cal,C,2,1,1,7.6,1,11.25,0.2,78.75,1.37,
CcalT2M1,L. californica,cal,C,2,1,2,11.9,16,348.75,6.09,101.25,1.77,
CcalT2M1,L. californica,cal,C,2,1,3,9.25,1,11.25,0.2,78.75,1.37,
CcalT2M1,L. californica,cal,C,2,1,4,10.2,2,33.75,0.59,56.25,0.98,
CcalT2M1,L. californica,cal,C,2,1,5,11.35,2,33.75,0.59,56.25,0.98,
CcalT2M1,L. californica,cal,C,2,1,6,10.65,2,33.75,0.59,56.25,0.98,
CcalT2M1,L. californica,cal,C,2,1,7,11.45,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,8,5.5,3,56.25,0.98,33.75,0.59,
