"","Full.ID","Species","SppID","Hub","Transect","Mom","Pin","Distance","Angle_Comp","Angle_Deg_fromN","Angle_Rad_fromN","Angle_Deg_fromE","Angle_Rad_fromE","Notes","Dist_x","Dist_y","mean_Dist_x","mean_Dist_y","ptcentdist"
"54","BcalT2M2","L. californica","cal","B",2,2,5,14.3,2,33.75,0.59,56.25,0.98,"",7.96542241875691,11.8761123980352,8.16026104798191,14.6542758705312,2.78498731978254
"55","BcalT2M2","L. californica","cal","B",2,2,6,14.25,2,33.75,0.59,56.25,0.98,"",7.9375712914186,11.8345875295106,8.16026104798191,14.6542758705312,2.82846832546627
"56","BcalT2M2","L. californica","cal","B",2,2,7,15.5,2,33.75,0.59,56.25,0.98,"",8.63384947487637,12.8727092426255,8.16026104798191,14.6542758705312,1.84343853918582
"57","BcalT2M2","L. californica","cal","B",2,2,8,17.9,2,33.75,0.59,56.25,0.98,"",9.97070358711529,14.8659029318063,8.16026104798191,14.6542758705312,1.82276937668144
"58","BcalT2M2","L. californica","cal","B",2,2,9,18.35,2,33.75,0.59,56.25,0.98,"",10.2213637331601,15.2396267485277,8.16026104798191,14.6542758705312,2.1426105407236
"59","BcalT2M2","L. californica","cal","B",2,2,10,16.4,2,33.75,0.59,56.25,0.98,"",9.13516976696596,13.6201568760683,8.16026104798191,14.6542758705312,1.42121395470918
"60","BcalT2M2","L. californica","cal","B",2,2,11,17,2,33.75,0.59,56.25,0.98,"",9.4693832950257,14.1184552983635,8.16026104798191,14.6542758705312,1.41453340125396
"61","BcalT2M2","L. californica","cal","B",2,2,12,18.75,2,33.75,0.59,56.25,0.98,"",10.4441727518666,15.5718256967244,8.16026104798191,14.6542758705312,2.46133101282387
"62","BcalT2M2","L. californica","cal","B",2,2,13,15.35,1,11.25,0.2,78.75,1.37,"",3.06155321731274,15.0415887424687,8.16026104798191,14.6542758705312,5.1133973836673
"63","BcalT2M2","L. californica","cal","B",2,2,14,16.4,1,11.25,0.2,78.75,1.37,"",3.27097542436019,16.0704922069373,8.16026104798191,14.6542758705312,5.0902635119272
"64","BcalT2M2","L. californica","cal","B",2,2,15,18.65,1,11.25,0.2,78.75,1.37,"",3.71973729660473,18.2752853450842,8.16026104798191,14.6542758705312,5.72974351968279
"65","BcalT2M2","L. californica","cal","B",2,2,16,18.85,1,11.25,0.2,78.75,1.37,"",3.75962724080425,18.4712669573639,8.16026104798191,14.6542758705312,5.82537542668582
"66","BcalT2M2","L. californica","cal","B",2,2,17,21.45,2,33.75,0.59,56.25,0.98,"",11.9481336281354,17.8141685970528,8.16026104798191,14.6542758705312,4.93283901284059
"67","BcalT2M2","L. californica","cal","B",2,2,18,21.6,2,33.75,0.59,56.25,0.98,"",12.0316870101503,17.9387432026266,8.16026104798191,14.6542758705312,5.07697396449429
"68","BcalT2M2","L. californica","cal","B",2,2,19,20.5,2,33.75,0.59,56.25,0.98,"",11.4189622087075,17.0251960950854,8.16026104798191,14.6542758705312,4.02993746429321
"69","BfreT1M2","L. fremontii","fre","B",1,2,1,7.3,6,123.75,2.16,326.25,5.69,"",6.05289928708608,-4.08073648014582,6.77192261710332,-6.81928897196454,2.8313714520627
"70","BfreT1M2","L. fremontii","fre","B",1,2,2,7.95,6,123.75,2.16,326.25,5.69,"",6.59185607292251,-4.44408972837798,6.77192261710332,-6.81928897196454,2.38201498884189
"71","BfreT1M2","L. fremontii","fre","B",1,2,3,8.4,6,123.75,2.16,326.25,5.69,"",6.9649800015785,-4.69564197715409,6.77192261710332,-6.81928897196454,2.13240420940024
"72","BfreT1M2","L. fremontii","fre","B",1,2,4,8.9,6,123.75,2.16,326.25,5.69,"",7.3795621445296,-4.97514447579421,6.77192261710332,-6.81928897196454,1.94167317487938
"73","BfreT1M2","L. fremontii","fre","B",1,2,5,9.7,6,123.75,2.16,326.25,5.69,"",8.04289357325136,-5.42234847361841,6.77192261710332,-6.81928897196454,1.88859999134052
"74","BfreT1M2","L. fremontii","fre","B",1,2,6,9.95,7,146.25,2.55,303.75,5.3,"",5.51602464498265,-8.28106105012782,6.77192261710332,-6.81928897196454,1.92718896968475
"75","BfreT1M2","L. fremontii","fre","B",1,2,7,10.8,6,123.75,2.16,326.25,5.69,"",8.95497428774378,-6.03725397062669,6.77192261710332,-6.81928897196454,2.31889916555327
"76","BfreT1M2","L. fremontii","fre","B",1,2,8,10.4,6,123.75,2.16,326.25,5.69,"",8.6233085733829,-5.81365197171459,6.77192261710332,-6.81928897196454,2.10687819661722
"77","BfreT1M2","L. fremontii","fre","B",1,2,9,11.25,7,146.25,2.55,303.75,5.3,"",6.23671128201556,-9.36300872501889,6.77192261710332,-6.81928897196454,2.599415579565
"78","BfreT1M2","L. fremontii","fre","B",1,2,10,10.3,7,146.25,2.55,303.75,5.3,"",5.71005566264536,-8.57235465490618,6.77192261710332,-6.81928897196454,2.0495854989918
"79","BfreT1M2","L. fremontii","fre","B",1,2,11,10.85,7,146.25,2.55,303.75,5.3,"",6.01496154754389,-9.03010174812933,6.77192261710332,-6.81928897196454,2.33681047414675
"80","BfreT1M2","L. fremontii","fre","B",1,2,12,11,7,146.25,2.55,303.75,5.3,"",6.09811769797077,-9.15494186446291,6.77192261710332,-6.81928897196454,2.4309026108183
"81","BfreT1M2","L. fremontii","fre","B",1,2,13,10.55,7,146.25,2.55,303.75,5.3,"",5.84864924669015,-8.78042151546216,6.77192261710332,-6.81928897196454,2.16759649604799
"82","BglaT2M2","L. glaberrima","gla","B",2,2,1,8.55,3,56.25,0.98,33.75,0.59,"",7.1045428063064,4.7568867459043,7.20738738072781,7.77687848934382,3.02174240082287
"83","BglaT2M2","L. glaberrima","gla","B",2,2,2,8.85,3,56.25,0.98,33.75,0.59,"",7.35382501003645,4.92379505277814,7.20738738072781,7.77687848934382,2.85683900058841
