Full_ID,SppID,Hub,Transect,Mom,Pin,Distance,ptcentdist,max_surveg_length_mm,surveg_mass_g,mat_mass_mg,non_na_count,n_inflor,mean_speed_1m,mean_speed_10cm,mean_prop_speed_pcnt,mean_surveg_length_cm,veg_density_g_msqr,main_stem_length_cm,tot_mat_length_cm,mean_inflor_height_cm,var_inflor_height_cm,rel_inflor_height_svheight
BcalT2M2,cal,B,2,2,14,16.4,5.09,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,15,18.65,5.73,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,16,18.85,5.83,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,17,21.45,4.93,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,18,21.6,5.08,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BcalT2M2,cal,B,2,2,19,20.5,4.03,338.683,4.27,18.85,1,1,3.662,1.432,39.37,29.52,2.81,22.3,22.3,22.3,NA,75.54
BfreT1M2,fre,B,1,2,1,7.3,2.83,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,2,7.95,2.38,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,3,8.4,2.13,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,4,8.9,1.94,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,5,9.7,1.89,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,6,9.95,1.93,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,7,10.8,2.32,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,8,10.4,2.11,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,9,11.25,2.6,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,10,10.3,2.05,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,11,10.85,2.34,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,12,11,2.43,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BfreT1M2,fre,B,1,2,13,10.55,2.17,396.761,2.763,9.39,1,1,5.24,1.576,30.31,30.7,1.748,16.2,16.2,16.2,NA,52.77
BglaT2M2,gla,B,2,2,1,8.55,3.02,388.615,2.38,17.49,2,2,2.378,1.226,50.43,19.48,2.374,24.08,34.88,23.83,0.4,122.33
BglaT2M2,gla,B,2,2,2,8.85,2.86,388.615,2.38,17.49,2,2,2.378,1.226,50.43,19.48,2.374,24.08,34.88,23.83,0.4,122.33
BglaT2M2,gla,B,2,2,3,12.6,2.69,388.615,2.38,17.49,2,2,2.378,1.226,50.43,19.48,2.374,24.08,34.88,23.83,0.4,122.33
BglaT2M2,gla,B,2,2,4,13.2,3.19,388.615,2.38,17.49,2,2,2.378,1.226,50.43,19.48,2.374,24.08,34.88,23.83,0.4,122.33
BglaT2M3,gla,B,2,3,1,9.7,2.46,197.686,0.989,17.88,2,2,6.002,3.498,63.71,16.61,1.157,20.43,32.35,21.14,1.52,127.27
BglaT2M3,gla,B,2,3,2,11.35,1,197.686,0.989,17.88,2,2,6.002,3.498,63.71,16.61,1.157,20.43,32.35,21.14,1.52,127.27
BglaT2M3,gla,B,2,3,3,13.1,4.27,197.686,0.989,17.88,2,2,6.002,3.498,63.71,16.61,1.157,20.43,32.35,21.14,1.52,127.27
BglaT2M3,gla,B,2,3,4,12.45,0.82,197.686,0.989,17.88,2,2,6.002,3.498,63.71,16.61,1.157,20.43,32.35,21.14,1.52,127.27
